Event,Match_Number,Blue1,Blue2,Blue3,Red1,Red2,Red3
Colorado Regional,1,1011,1339,662,6920,7485,3807
Colorado Regional,10,3648,7485,4593,1138,5763,1303
Colorado Regional,11,4550,2945,2594,4944,3200,662
Colorado Regional,12,2036,4068,1332,9068,3807,3298
Colorado Regional,13,2261,3729,1799,1410,2240,8334
Colorado Regional,14,7479,6920,1977,3374,7243,5493
Colorado Regional,15,1619,5763,9112,2996,4418,4593
Colorado Regional,16,159,4293,4550,2594,4499,7485
Colorado Regional,17,7737,1138,3298,2945,1303,2036
Colorado Regional,18,9068,3648,8334,3807,3200,4068
Colorado Regional,19,1332,5493,2240,662,1977,3374
Colorado Regional,2,3200,1138,2083,5763,4499,4388
Colorado Regional,20,1619,7243,2341,1339,1410,2261
Colorado Regional,21,4388,1011,1799,4944,2996,7479
Colorado Regional,22,3729,6920,1138,2083,159,9112
Colorado Regional,23,7737,8334,2945,4499,4550,4068
Colorado Regional,24,4293,3200,2240,5763,1332,3298
Colorado Regional,25,2036,3374,7485,2341,1410,1977
Colorado Regional,26,1799,2996,1303,5493,1339,9068
Colorado Regional,27,2594,7479,3729,3648,4388,1619
Colorado Regional,28,3807,2261,4944,4418,2083,6920
Colorado Regional,29,4593,662,5763,1011,7243,3200
Colorado Regional,3,3648,159,7737,7479,3298,4418
Colorado Regional,30,9112,3374,1332,4068,1138,8334
Colorado Regional,31,4499,1410,2996,2240,7737,1799
Colorado Regional,32,4550,7479,4388,1619,3729,1339
Colorado Regional,33,2945,7485,4418,6920,9068,2036
Colorado Regional,34,4293,662,2083,4593,1977,2594
Colorado Regional,35,3298,1011,2261,1303,159,3807
Colorado Regional,36,7243,4944,1138,5493,2341,3648
Colorado Regional,37,1410,3374,1619,3200,9112,3729
Colorado Regional,38,1332,6920,7737,9068,4388,2240
Colorado Regional,39,4068,2083,2996,662,4499,7479
Colorado Regional,4,2341,9112,4944,4293,4593,9068
Colorado Regional,40,4293,1303,1339,2036,2594,1011
Colorado Regional,41,4550,1977,4418,2261,7485,159
Colorado Regional,42,1799,2341,3807,5763,2945,3648
Colorado Regional,43,5493,4593,4944,8334,3298,7243
Colorado Regional,44,662,2996,9068,1410,1332,3729
Colorado Regional,45,2240,1303,4068,2083,1339,2594
Colorado Regional,46,1138,1619,2261,7737,3374,1011
Colorado Regional,47,7485,1977,3200,9112,7479,2945
Colorado Regional,48,3298,4293,4944,8334,4550,2341
Colorado Regional,49,159,5493,5763,7243,2036,4499
Colorado Regional,5,7243,4550,1303,2996,1332,1977
Colorado Regional,50,4388,4593,6920,4418,1799,3648
Colorado Regional,51,2594,7737,1619,3807,1138,1332
Colorado Regional,52,1339,2240,1977,9068,3200,2945
Colorado Regional,53,1011,2341,7485,3729,4068,3298
Colorado Regional,54,2996,159,7243,8334,4293,3374
Colorado Regional,55,7479,5763,2036,2261,6920,4550
Colorado Regional,56,4388,4418,9112,1303,3648,662
Colorado Regional,57,1410,1799,5493,2083,3807,4593
Colorado Regional,58,1332,4499,3200,4944,7737,7485
Colorado Regional,59,3729,7243,4293,3298,2240,2945
Colorado Regional,6,2945,4068,1410,2261,2594,5493
Colorado Regional,60,2594,4068,5763,6920,1339,2996
Colorado Regional,61,8334,662,159,1303,7479,2341
Colorado Regional,62,4418,3807,3374,4550,1799,2083
Colorado Regional,63,1138,4593,4499,1977,2261,9068
Colorado Regional,64,3648,2036,9112,4944,1011,1410
Colorado Regional,65,7485,3298,1619,5493,4388,2996
Colorado Regional,66,3200,8334,6920,2341,662,3729
Colorado Regional,67,1332,4418,4293,7243,1799,4068
Colorado Regional,68,1303,9068,2594,5763,2261,3374
Colorado Regional,69,1977,9112,4499,1339,3648,3807
Colorado Regional,7,2240,3729,2036,1619,8334,1799
Colorado Regional,70,2240,2083,7479,1138,2036,4550
Colorado Regional,71,159,4944,4388,2945,1619,4593
Colorado Regional,72,1011,5493,4418,7737,1410,4293
Colorado Regional,73,3200,2261,2341,7485,1303,1332
Colorado Regional,74,1799,9068,4499,9112,2594,7243
Colorado Regional,75,2036,3807,662,3374,2996,1138
Colorado Regional,76,4068,4944,3648,159,1619,2240
Colorado Regional,77,7479,8334,1011,4388,2945,2083
Colorado Regional,78,4593,4550,1339,3729,5493,7737
Colorado Regional,79,1977,3298,1303,6920,5763,1410
Colorado Regional,8,3374,4388,1339,4499,4418,159
Colorado Regional,80,2996,2594,3200,4418,2341,1138
Colorado Regional,81,662,9112,2261,1799,2036,159
Colorado Regional,82,7485,9068,7243,2083,1619,1011
Colorado Regional,83,3807,3729,4388,4068,4293,5493
Colorado Regional,84,4499,2945,6920,4593,1332,7479
Colorado Regional,85,3298,3648,1410,3374,2240,4550
Colorado Regional,86,1339,7737,5763,1977,4944,8334
Colorado Regional,9,2341,2083,7737,9112,1011,4293
